"203";"postava";"3359";""
"204";"učitel";"3357";""
"205";"strach";"3356";""
"206";"nabídka";"3346";""
"207";"noc";"3333";""
"208";"název";"3320";""
"209";"snaha";"3283";""
"210";"kvalita";"3248";""
"211";"mistr";"3231";""
"212";"Paul";"3227";""
"213";"telefon";"3218";""
"214";"Peter";"3206";""
"215";"přístup";"3202";""
"216";"energie";"3200";""
"217";"barva";"3200";""
"218";"výrobce";"3200";""
"219";"sport";"3189";""
"220";"Roman";"3189";""
"221";"tatínek";"3182";""
"222";"Adam";"3182";""
"223";"metoda";"3159";""
"224";"Ondřej";"3148";""
"225";"a";"3131";""
"226";"pacient";"3130";""
"227";"oblast";"3092";""
"228";"zdroj";"3089";""
"229";"Ivan";"3086";""
"230";"politika";"3081";""
"231";"řeč";"3076";""
"232";"tma";"3062";""
"233";"hvězda";"3060";""
"234";"Lukáš";"3058";""
"235";"téma";"3051";""
"236";"komise";"3047";""
"237";"vlna";"3046";""
"238";"prostředí";"3038";""
"239";"bolest";"3034";""
"240";"příklad";"3032";""
"241";"verze";"3025";""
"242";"muzeum";"3024";""
"243";"Ostrava";"3009";""
"244";"republika";"3005";""
"245";"slečna";"2989";""
"246";"sen";"2953";""
"247";"Jakub";"2951";""
"248";"materiál";"2948";""
"249";"výroba";"2948";""
"250";"herečka";"2947";""
"251";"velikost";"2939";""
"252";"příprava";"2938";""
"253";"teorie";"2933";""
"254";"návrh";"2924";""
"255";"zápas";"2919";""
"256";"délka";"2918";""
"257";"boj";"2912";""
"258";"obec";"2905";""
"259";"vedoucí";"2903";""
"260";"Česko";"2881";""
"261";"volba";"2855";""
"262";"Miloš";"2850";""
"263";"reakce";"2848";""
"264";"období";"2846";""
"265";"napětí";"2839";""
"266";"výraz";"2828";""
"267";"armáda";"2828";""
"268";"služba";"2804";""
"269";"text";"2775";""
"270";"Petra";"2750";""
"271";"organizace";"2743";""
"272";"spisovatel";"2737";""
"273";"krize";"2724";""
"274";"pohyb";"2720";""
"275";"podíl";"2713";""
"276";"záležitost";"2706";""
"277";"William";"2704";""
"278";"historie";"2702";""
"279";"touha";"2702";""
"280";"péče";"2696";""
"281";"budova";"2678";""
"282";"velitel";"2673";""
"283";"forma";"2663";""
"284";"zahrada";"2654";""
"285";"osud";"2651";""
"286";"proud";"2635";""
"287";"funkce";"2632";""
"288";"smích";"2630";""
"289";"konstrukce";"2628";""
"290";"trh";"2627";""
"291";"schopnost";"2623";""
"292";"plocha";"2621";""
"293";"Evropa";"2620";""
"294";"činnost";"2619";""
"295";"kamarád";"2611";""
"296";"přítomnost";"2608";""
"297";"e";"2602";""
"298";"sníh";"2600";""
"299";"banka";"2598";""
"300";"ročník";"2585";""
"301";"obsah";"2580";""
"302";"klid";"2574";""
"303";"design";"2574";""
"304";"Radek";"2572";""
"305";"doprava";"2555";""
"306";"Marta";"2555";""
"307";"Helena";"2546";""
"308";"plán";"2544";""
"309";"počasí";"2542";""
"310";"tlak";"2538";""
"311";"Kateřina";"2538";""
"312";"dědeček";"2535";""
"313";"ochrana";"2535";""
"314";"zařízení";"2529";""
"315";"pole";"2518";""
"316";"úsměv";"2509";""
"317";"jídlo";"2506";""
"318";"loď";"2497";""
"319";"kočka";"2495";""
"320";"náměstek";"2493";""
"321";"jazyk";"2487";""
"322";"Německo";"2482";""
"323";"Klaus";"2479";""
"324";"Alice";"2478";""
"325";"fotbal";"2472";""
"326";"zbytek";"2469";""
"327";"kámen";"2464";""
"328";"student";"2458";""
"329";"soubor";"2452";""
"330";"televize";"2431";""
"331";"zvuk";"2426";""
"332";"umění";"2425";""
"333";"Tom";"2420";""
"334";"analýza";"2404";""
"335";"podnik";"2404";""
"336";"aplikace";"2390";""
"337";"vůz";"2386";""
"338";"atmosféra";"2386";""
"339";"kolo";"2381";""
"340";"Zeman";"2379";""
"341";"vůně";"2379";""
"342";"b";"2369";""
"343";"Lucie";"2367";""
"344";"obrázek";"2365";""
"345";"snímek";"2365";""
"346";"zkušenost";"2363";""
"347";"spotřeba";"2363";""
"348";"spolupráce";"2361";""
"349";"kůže";"2357";""
"350";"právo";"2355";""
"351";"teta";"2350";""
"352";"věda";"2349";""
"353";"smlouva";"2341";""
"354";"Nick";"2340";""
"355";"zvíře";"2340";""
"356";"nebezpečí";"2336";""
"357";"ztráta";"2336";""
